"STATION","NAME","DATE","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-03-21","0.00","0.0","49","63","34"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-03-22","0.00","0.0","48","59","35"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-03-23","0.00","0.0","49","64","38"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-03-24","1.35","0.0","52","58","45"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-03-25","0.01","0.0","56","67","51"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-03-26","0.10","0.0","64","84","51"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-03-27","0.00","0.0","59","69","50"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-03-28","0.54","0.0","55","66","50"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-03-29","0.00","0.0","52","57","43"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-03-30","0.00","0.0","50","61","35"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-03-31","0.28","0.0","56","69","49"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-04-01","0.03","0.0","49","58","37"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-04-02","0.00","0.0","36","40","28"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-04-03","0.00","0.0","40","54","30"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-04-04","0.00","0.0","51","67","42"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-04-05","0.00","0.0","58","70","46"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-04-06","0.00","0.0","58","71","46"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-04-07","0.00","0.0","59","71","49"
