STATION,NAME,DATE,PRCP,TMAX,TMIN
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-04-03,0.13,48,40
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-04-04,0,54,39
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-04-05,0.07,54,42
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-04-06,0.67,53,45
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-04-07,1.1,53,46
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-04-08,0.01,64,49
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-04-09,0.13,58,47
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-04-10,0,53,43
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-04-11,0,62,40
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-04-12,0.04,73,49
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-04-13,0,67,50
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-04-14,0.06,88,56
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-04-15,0,71,51
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-04-16,0.12,73,46
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-04-17,0,54,42
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-04-18,0.88,53,36
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-04-19,0.93,53,40
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-04-20,0,62,43
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-04-21,0,64,47
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-04-22,0,72,48
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-04-23,0,64,49
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-04-24,0,63,50
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-04-25,0,58,50
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-04-26,0.01,66,54
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-04-27,0,60,42
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-04-28,0,60,41
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-04-29,0,66,42
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-04-30,0,70,45
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-05-01,0,69,43
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-05-02,0.22,58,53
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-05-03,0,65,51
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-05-04,0.15,68,51
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-05-05,0,75,58
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-05-06,0.94,61,51
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-05-07,1.21,54,47
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-05-08,0,62,46
